ndVxi,RotSpeed,BldPitch1
3.000,6.972,0.000
4.000,7.183,0.000
5.000,7.506,0.000
6.000,7.942,0.000
7.000,8.469,0.000
8.000,9.156,0.000
9.000,10.296,0.000
10.000,11.431,0.000
11.000,11.890,0.000
12.000,12.100,3.823
13.000,12.100,6.602
14.000,12.100,8.668
15.000,12.100,10.450
16.000,12.100,12.055
17.000,12.100,13.536
18.000,12.100,14.920
19.000,12.100,16.226
20.000,12.100,17.473
21.000,12.100,18.699
22.000,12.100,19.941
23.000,12.100,21.177
24.000,12.100,22.347
25.000,12.100,23.469
